# ./cyclops -w STRIDED_ARRAY -m TASK_CLOCK_NS -u 5 -r 3 -s array-size-kib=10:2800:20 -p repeats=100
array-size-kib,CPU_CYCLES:MIN,CPU_CYCLES:MAX,CPU_CYCLES:MEDIAN,INSTRUCTIONS:MIN,INSTRUCTIONS:MAX,INSTRUCTIONS:MEDIAN,TASK_CLOCK_NS:MIN,TASK_CLOCK_NS:MAX,TASK_CLOCK_NS:MEDIAN,
1530,105179390.000000,105228290.000000,105181108.0000001530,12240701.000000,12240702.000000,12240701.0000001530,42278947.000000,42296647.000000,42284647.000000
1550,106875345.000000,106883766.000000,106881875.0000001550,12400702.000000,12400702.000000,12400702.0000001550,42960434.000000,42967335.000000,42962628.000000
1570,108078142.000000,108087340.000000,108085830.0000001570,12560702.000000,12560703.000000,12560702.0000001570,43448288.000000,43457304.000000,43453176.000000
1590,109712859.000000,109741452.000000,109724432.0000001590,12720703.000000,12720703.000000,12720703.0000001590,44100804.000000,44121953.000000,44110843.000000
1610,111169671.000000,111237091.000000,111174749.0000001610,12880703.000000,12880704.000000,12880704.0000001610,44686687.000000,44711134.000000,44697192.000000
1630,112563812.000000,112576368.000000,112575179.0000001630,13040704.000000,13040705.000000,13040704.0000001630,45248090.000000,45262506.000000,45248230.000000
1650,114081058.000000,114115896.000000,114084851.0000001650,13200705.000000,13200705.000000,13200705.0000001650,45855685.000000,45872783.000000,45860763.000000
1670,115643938.000000,115647194.000000,115644738.0000001670,13360705.000000,13360706.000000,13360706.0000001670,46483377.000000,46492674.000000,46486442.000000
1690,117065497.000000,117116074.000000,117074068.0000001690,13520706.000000,13520707.000000,13520706.0000001690,47063795.000000,47084932.000000,47070873.000000
1710,118669942.000000,118682468.000000,118669963.0000001710,13680706.000000,13680707.000000,13680707.0000001710,47700475.000000,47711879.000000,47703546.000000
1730,120101025.000000,120166601.000000,120116455.0000001730,13840707.000000,13840708.000000,13840707.0000001730,48280760.000000,48306880.000000,48282491.000000
1750,121600877.000000,121677186.000000,121660944.0000001750,14000708.000000,14000708.000000,14000708.0000001750,48880003.000000,48921284.000000,48907817.000000
1770,123088455.000000,123098156.000000,123097452.0000001770,14160708.000000,14160709.000000,14160708.0000001770,49477650.000000,49484785.000000,49480059.000000
1790,125095269.000000,132892658.000000,125700522.0000001790,14320709.000000,14320730.000000,14320714.0000001790,50297466.000000,53586938.000000,50572920.000000
1810,125978385.000000,126093947.000000,125983446.0000001810,14480709.000000,14480710.000000,14480710.0000001810,50638210.000000,50689181.000000,50643573.000000
1830,127529401.000000,127679479.000000,127535538.0000001830,14640710.000000,14640711.000000,14640710.0000001830,51262304.000000,51328712.000000,51272504.000000
1850,129033802.000000,129182787.000000,129045105.0000001850,14800711.000000,14800711.000000,14800711.0000001850,51875162.000000,51933182.000000,51886753.000000
